Artist,Title,Youtube URL,Year,Album,START,END
The Prodigy,Out of Space,https://www.youtube.com/watch?v=a4eav7dFvc8,,,,
The Qemists,Tomcat,https://www.youtube.com/watch?v=TlXA7cqNjCg,,,,
The Ramparts,The Rocky Road to Dublin,https://www.youtube.com/watch?v=2yKLnfYqOIs,,,0:00:15,0:03:10
The Smashing Pumpkins,1979,https://www.youtube.com/watch?v=4aeETEoNfOg,1996,Mellon Collie and the Infinite Sadness,,
The Smashing Pumpkins,"Tonight, Tonight",https://www.youtube.com/watch?v=NOG3eus4ZSo,1996,Mellon Collie and the Infinite Sadness,,
The Temper Trap,Sweet Disposition,https://www.youtube.com/watch?v=0Us2amaAcIQ,,,,
The Weeknd,Blinding Lights,https://www.youtube.com/watch?v=fHI8X4OXluQ,2019,After Hours,,
The Witcher 3,Trailer Song,https://www.youtube.com/watch?v=uFJZPjEwmwk,,,,
The XX,Intro,https://www.youtube.com/watch?v=xMV6l2y67rk,,,0:00:00,0:02:02
TheFatRat feat. Laura Brehm,MAYDAY,https://www.youtube.com/watch?v=DT61L8hbbJ4,,,,
Tierra Santa,La Canción del Pirata,https://www.youtube.com/watch?v=fJ9WhUfR7D4,,,,
Tim van Werd,Believe,https://www.youtube.com/watch?v=ldpxCUXCeGI,,,0:00:00,0:03:56
Tom Odell,Another Love,https://www.youtube.com/watch?v=MwpMEbgC7DA,2012,Long Way Down,,
Tracy Chapman,Fast Car,https://www.youtube.com/watch?v=AIOAlaACuv4,1987,Tracy Chapman,,
Trash80,Chip 2 Bit,https://www.youtube.com/watch?v=n5rhjp25CNk,,,,
Trent Reznor,Nun with a Motherfucking Gun (Watchmen BSO),https://www.youtube.com/watch?v=zvdWohmGiFw,,,,
Twenty One Pilots,Lane Boy,https://www.youtube.com/watch?v=ywvRgGAd2XI,,,,
U2,Beautiful Day,https://www.youtube.com/watch?v=co6WMzDOh1o,2000,All That You Can't Let Behind,,
Underworld,Born Slippy,https://www.youtube.com/watch?v=XiMrrleH_hI,1996,,,
Underworld,Rez Cowgirl,https://www.youtube.com/watch?v=t_AFmaNUgx4,,,,
UNKLE feat. Ian Astbury,Burn My Shadow (Junkie XL Mix),https://www.youtube.com/watch?v=1Kbdayv5wlM,,,,
Wardruna & Aurora,Helvegen (live),https://www.youtube.com/watch?v=FnkTuHP9q3o,,,,
We Are All Astronauts,Ether,https://www.youtube.com/watch?v=-fFbeSykaJk,,,,
Will Ferrell & My Marianne,Husavik,https://www.youtube.com/watch?v=qjuphuG3ndw,,,,
Within Temptation feat. Xzibit,And We Run,https://www.youtube.com/watch?v=W_hfA93BafU,,,,
Wookdik,Iron,https://www.youtube.com/watch?v=vSkb0kDacjs,,,,
Wookdik,Run Boy Run,https://www.youtube.com/watch?v=lmc21V-zBq0,,,,
Yann Tiersen,Comptine d'un Autre Été,https://www.youtube.com/watch?v=I0cZukTFXNw,,,,
Yasuharu Takanashi,Girei (Pain's Theme Naruto),https://www.youtube.com/watch?v=PCfiqY05BpA,,,,
Zorba the Greek,Sirtaki,https://www.youtube.com/watch?v=dzlcxN0lxSo,,,,
Κωνσταντίνος Αργυρός,Ελεύθερος,https://www.youtube.com/watch?v=_TQKxSgo10Y,,,0:00:00,0:03:40
Dj Fresh,Gold Dust,https://www.youtube.com/watch?v=RNuUgbUzM8U,,,0:00:13,0:03:14
Yoshio Akeboshi,Wind (Naruto ending),https://youtu.be/wzoIZO8WbI8?si=U1wIySiacZ9PXJ5S,,,0:00:00,0:01:30
Poppy,New Way Out,https://youtu.be/OqVNYcaS-3E?si=lpHCWcZAfASmqITU,,,,
Taylor Swift,The Fate of Ophelia,https://youtu.be/ko70cExuzZM?si=erC78_5x70Y6dC9t,,,0:00:14,0:03:58
Future Dynamic & Paul Stone,Messy Hopes,https://www.youtube.com/watch?v=P2Er5yUUlfE,,,,
